"Name","Subject","Message","Date","Phone Number","Country","Attachments"
"32665","","650451 is your Facebook confirmation code","Nov 21, 2015, 3:48:49 PM","32665","",""
"32665","","Confirmed! To edit SMS preferences go to m.facebook.com/settings. To turn off all SMS messages reply stop. Reply help for other options. SMS charges may apply.","Nov 22, 2015, 8:15:36 PM","32665","",""
"32665","","021352 is your Facebook confirmation code","Dec 2, 2015, 10:50:26 PM","32665","",""
"32665","","Confirmed! To edit SMS preferences go to m.facebook.com/settings. To turn off all SMS messages reply stop. Reply help for other options. SMS charges may apply.","Dec 2, 2015, 10:50:36 PM","32665","",""
"Me","","Stop","Dec 2, 2015, 10:50:50 PM","32665","",""
"32665","","Facebook texts are now off.

Reply on to turn them back on.
Std SMS rates may apply.","Dec 2, 2015, 10:50:51 PM","32665","",""
"32665","","Texts from Facebook are now turned off.

Reply ON to keep receiving text messages or go to m.facebook.com/settings to edit your prefrates may apply.","Mar 9, 2016, 11:20:29 PM","32665","",""
